Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,175.9,176.7,177.5,177.7,178.2,178.7,178.4,178.9,178.8,178.9,180.1,180.4
2015,179.2,179.4,179.0,178.2,179.0,178.9,178.8,179.5,179.2,179.5,179.2,179.2
2016,178.5,178.0,177.1,177.3,177.0,176.0,177.7,176.9,178.5,178.3,178.0,177.4
2017,176.2,175.9,176.6,176.6,177.1,177.2,178.6,177.7,178.1,177.3,177.7,177.7
2018,177.9,178.7,178.7,178.3,177.9,178.5,177.9,177.8,178.2,176.4,176.7,176.0
2019,176.3,175.9,175.5,176.6,176.6,177.1,175.5,175.6,176.1,175.5,175.4,175.2
2020,175.7,175.7,175.1,161.0,163.2,165.1,166.4,168.1,168.8,167.2,168.2,169.4
2021,169.3,168.4,170.1,169.8,171.1,169.4,170.9,170.6,169.0,173.5,173.6,173.9
2022,176.1,179.2,177.5,178.0,178.1,176.6,180.5,180.9,180.9,180.6,179.8,179.4
2023,179.8,179.3,179.0,178.9,177.9,179.3,177.1,176.2,176.2,176.9,177.4,175.5
2024,176.2,177.2,178.4,177.9,177.2,177.2(P),,,,,,
