Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,452.4,450.7,449.0,451.0,450.6,449.9,450.6,451.8,453.8,452.9,456.1,454.0
2015,453.2,453.0,454.5,454.6,453.3,454.1,454.7,450.3,448.8,451.6,450.0,452.9
2016,453.3,453.2,458.4,453.9,456.2,450.2,456.5,456.9,457.1,454.7,458.1,455.3
2017,456.3,454.9,454.3,453.5,455.1,453.0,453.4,454.5,453.3,453.7,452.6,454.1
2018,453.9,456.3,453.8,454.4,456.4,455.1,455.1,454.8,458.6,455.8,457.9,458.5
2019,457.2,459.7,460.5,459.9,458.3,456.5,457.5,457.8,459.6,462.1,461.4,462.2
2020,464.0,465.9,468.5,438.2,435.1,429.9,432.1,443.4,437.4,434.7,432.2,431.7
2021,435.2,434.6,436.0,439.3,438.3,443.2,450.5,452.9,442.5,445.4,442.1,446.7
2022,447.4,448.9,448.7,450.2,451.5,451.9,455.8,454.3,456.4,454.5,456.7,456.2
2023,457.3,457.4,458.8,457.7,458.5,458.7,461.7,462.8,461.5,459.1,459.3,459.9
2024,461.7,461.7,462.6,462.1,460.8,469.1(P),,,,,,
