Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,192.6,193.0,193.3,193.3,193.5,194.0,194.0,194.3,194.5,194.6,195.0,195.2
2015,196.0,196.7,196.9,196.7,197.3,197.3,197.8,198.2,198.7,199.0,199.0,199.2
2016,199.3,199.2,199.7,200.3,200.7,200.7,201.0,201.5,201.5,202.0,202.6,202.9
2017,203.2,203.6,203.9,203.6,204.3,205.1,205.5,205.6,206.0,206.4,206.6,207.0
2018,206.6,207.2,207.3,207.7,207.9,208.5,208.6,208.9,209.0,208.9,209.2,209.5
2019,210.1,210.4,210.7,211.0,211.5,212.6,212.2,212.0,212.3,213.8,214.2,213.9
2020,214.7,214.3,214.2,207.6,207.0,206.9,207.5,208.5,208.8,208.7,208.8,209.3
2021,209.5,210.1,210.6,211.0,210.9,210.8,211.1,211.3,211.6,212.5,213.1,213.5
2022,213.8,214.6,215.1,216.3,216.7,216.8,217.8,218.3,219.5,219.4,219.5,219.4
2023,220.7,220.5,221.1,220.8,221.1,222.4,222.5,222.9,223.1,222.1,222.2,222.6
2024,222.4,221.0,221.1,221.3,221.9,221.6(P),,,,,,
